id,artist_song,artist,song,artist_song_folder,artist_folder,song_folder,decade
0,Ac Dc - All Songs,Ac Dc,All songs,ac_dc__All_songs,ac_dc,,1980
1,Ac Dc - Back in black,Ac Dc,Back in black,ac_dc__Back_in_black,ac_dc,Back_in_black,1980
2,Ac Dc - You shook me all night long,Ac Dc,You shook me all night long,ac_dc__You_shook_me_all_night_long,ac_dc,You_shook_me_all_night_long,1980
3,Bon Jovi - All Songs,Bon Jovi,All songs,bon_jovi__All_songs,bon_jovi,,1980
4,Bon Jovi - Wanted dead or alive,Bon Jovi,Wanted dead or alive,bon_jovi__Wanted_dead_or_alive,bon_jovi,Wanted_dead_or_alive,1980
5,Bon Jovi - Livin on a prayer,Bon Jovi,Livin on a prayer,bon_jovi__Livin_on_a_prayer,bon_jovi,Livin_on_a_prayer,1980
6,Bon Jovi - Always,Bon Jovi,Always,bon_jovi__Always,bon_jovi,Always,1980
7,Bon Jovi - Its my life,Bon Jovi,Its my life,bon_jovi__Its_my_life,bon_jovi,Its_my_life,1980
8,Phil Collins - All Songs,Phil Collins,All songs,phil_collins__All_songs,phil_collins,,1980
9,Phil Collins - Against all odds,Phil Collins,Against all odds,phil_collins__Against_all_odds,phil_collins,Against_all_odds,1980
10,U2 - All Songs,U2,All songs,u2__All_songs,u2,,1980
11,U2 - Sunday bloody sunday,U2,Sunday bloody sunday,u2__Sunday_bloody_sunday,u2,Sunday_bloody_sunday,1980
12,U2 - With or without you,U2,With or without you,u2__With_or_without_you,u2,With_or_without_you,1980
13,Madonna - All Songs,Madonna,All songs,madonna__All_songs,madonna,,1980
14,Madonna - Frozen,Madonna,Frozen,madonna__Frozen,madonna,Frozen,1980
15,Madonna - Ghosttown,Madonna,Ghosttown,madonna__Ghosttown,madonna,Ghosttown,1980
16,Whitney Houston - All Songs,Whitney Houston,All songs,whitney_houston__All_songs,whitney_houston,,1980
17,Whitney Houston - Saving all my love for you,Whitney Houston,Saving all my love for you,whitney_houston__Saving_all_my_love_for_you,whitney_houston,Saving_all_my_love_for_you,1980
18,Whitney Houston - Didnt we almost have it all,Whitney Houston,Didnt we almost have it all,whitney_houston__Didnt_we_almost_have_it_all,whitney_houston,Didnt_we_almost_have_it_all,1980
19,Whitney Houston - I will always love you,Whitney Houston,I will always love you,whitney_houston__I_will_always_love_you,whitney_houston,I_will_always_love_you,1980
20,Beatles - All Songs,Beatles,All songs,beatles__All_songs,beatles,,1960
21,Beatles - In my life,Beatles,In my life,beatles__In_my_life,beatles,In_my_life,1960
22,Beatles - Ob la di ob la da,Beatles,Ob la di ob la da,beatles__Ob_la_di_ob_la_da,beatles,Ob_la_di_ob_la_da,1960
23,Beatles - Real love,Beatles,Real love,beatles__Real_love,beatles,Real_love,1960
24,Beatles - Yesterday,Beatles,Yesterday,beatles__Yesterday,beatles,Yesterday,1960
25,Beatles - Blackbird,Beatles,Blackbird,beatles__Blackbird,beatles,Blackbird,1960
26,Beatles - Here comes the sun,Beatles,Here comes the sun,beatles__Here_comes_the_sun,beatles,Here_comes_the_sun,1960
27,Beatles - The night before,Beatles,The night before,beatles__The_night_before,beatles,The_night_before,1960
28,Beatles - Hey bulldog,Beatles,Hey bulldog,beatles__Hey_bulldog,beatles,Hey_bulldog,1960
29,Beatles - Love me do,Beatles,Love me do,beatles__Love_me_do,beatles,Love_me_do,1960
30,Beatles - Ill follow the sun,Beatles,Ill follow the sun,beatles__Ill_follow_the_sun,beatles,Ill_follow_the_sun,1960
31,Beatles - Let it be,Beatles,Let it be,beatles__Let_it_be,beatles,Let_it_be,1960
32,Beatles - Hey jude,Beatles,Hey jude,beatles__Hey_jude,beatles,Hey_jude,1960
33,Beatles - Sexy sadie,Beatles,Sexy sadie,beatles__Sexy_sadie,beatles,Sexy_sadie,1960
