start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
0,0.0,227,0.14934188125,49,C3.083333333333333#,80,2,0
0,0.0,227,0.14934188125,56,G3.666666666666667#,80,2,0
720,0.4736835,227,0.14934188124999997,49,C3.083333333333333#,80,2,0
720,0.4736835,227,0.14934188124999997,56,G3.666666666666667#,80,2,0
1440,0.947367,227,0.14934188125000009,49,C3.083333333333333#,80,2,0
1440,0.947367,227,0.14934188125000009,56,G3.666666666666667#,80,2,0
1920,1.263156,227,0.14934188125000009,42,F2.5#,80,2,0
1920,1.263156,227,0.14934188125000009,49,C3.083333333333333#,80,2,0
2640,1.7368395,227,0.14934188125000009,42,F2.5#,80,2,0
2640,1.7368395,227,0.14934188125000009,49,C3.083333333333333#,80,2,0
3360,2.210523,227,0.14934188125000009,42,F2.5#,80,2,0
3360,2.210523,227,0.14934188125000009,49,C3.083333333333333#,80,2,0
3840,2.526312,227,0.14934188125000009,45,A2.75,80,2,0
3840,2.526312,227,0.14934188125000009,52,E3.333333333333333,80,2,0
4560,2.9999955,227,0.14934188125000009,45,A2.75,80,2,0
4560,2.9999955,227,0.14934188125000009,52,E3.333333333333333,80,2,0
5280,3.473679,227,0.14934188125000009,45,A2.75,80,2,0
5280,3.473679,227,0.14934188125000009,52,E3.333333333333333,80,2,0
5760,3.789468,227,0.14934188125000009,47,B2.9166666666666665,80,2,0
5760,3.789468,227,0.14934188125000009,54,F3.5#,80,2,0
6480,4.2631515,227,0.14934188124999961,47,B2.9166666666666665,80,2,0
6480,4.2631515,227,0.14934188124999961,54,F3.5#,80,2,0
7200,4.736835,227,0.14934188124999961,47,B2.9166666666666665,80,2,0
7200,4.736835,227,0.14934188124999961,54,F3.5#,80,2,0
7680,5.052624,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
7680,5.052624,227,0.14934188124999961,56,G3.666666666666667#,80,2,0
8400,5.5263075,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
8400,5.5263075,227,0.14934188124999961,56,G3.666666666666667#,80,2,0
9120,5.999991,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
9120,5.999991,227,0.14934188124999961,56,G3.666666666666667#,80,2,0
9600,6.31578,227,0.14934188124999961,42,F2.5#,80,2,0
9600,6.31578,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
10320,6.7894635,227,0.14934188124999961,42,F2.5#,80,2,0
10320,6.7894635,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
11040,7.263147,227,0.14934188124999961,42,F2.5#,80,2,0
11040,7.263147,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
11520,7.578936,227,0.14934188124999961,45,A2.75,80,2,0
11520,7.578936,227,0.14934188124999961,52,E3.333333333333333,80,2,0
12240,8.0526195,227,0.14934188124999961,45,A2.75,80,2,0
12240,8.0526195,227,0.14934188124999961,52,E3.333333333333333,80,2,0
12960,8.526303,227,0.14934188124999961,45,A2.75,80,2,0
12960,8.526303,227,0.14934188124999961,52,E3.333333333333333,80,2,0
13440,8.842092,227,0.14934188124999961,47,B2.9166666666666665,80,2,0
13440,8.842092,227,0.14934188124999961,54,F3.5#,80,2,0
14160,9.3157755,227,0.14934188124999961,47,B2.9166666666666665,80,2,0
14160,9.3157755,227,0.14934188124999961,54,F3.5#,80,2,0
14880,9.789459,227,0.14934188124999961,47,B2.9166666666666665,80,2,0
14880,9.789459,227,0.14934188124999961,54,F3.5#,80,2,0
15360,10.105248,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
15360,10.105248,227,0.14934188124999961,56,G3.666666666666667#,80,2,0
16080,10.5789315,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
16080,10.5789315,227,0.14934188124999961,56,G3.666666666666667#,80,2,0
16800,11.052615,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
16800,11.052615,227,0.14934188124999961,56,G3.666666666666667#,80,2,0
17280,11.368404,227,0.14934188124999961,42,F2.5#,80,2,0
17280,11.368404,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
18000,11.8420875,227,0.14934188124999961,42,F2.5#,80,2,0
18000,11.8420875,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
18720,12.315771,227,0.14934188124999961,42,F2.5#,80,2,0
18720,12.315771,227,0.14934188124999961,49,C3.083333333333333#,80,2,0
19200,12.63156,227,0.14934188124999961,45,A2.75,80,2,0
19200,12.63156,227,0.14934188124999961,52,E3.333333333333333,80,2,0
19920,13.1052435,227,0.14934188124999961,45,A2.75,80,2,0
19920,13.1052435,227,0.14934188124999961,52,E3.333333333333333,80,2,0
20640,13.578927,227,0.14934188124999961,45,A2.75,80,2,0
