start_ticks,start_secs,dur_ticks,dur_secs,pitch,fullNoteOctave,velocity,part,channel
1680,1.5328495,455,0.41514673958333326,51,D3.25#,49,2,0
2160,1.9708065,227,0.2071171645833333,54,F3.5#,49,2,0
2400,2.189785,227,0.2071171645833333,58,A3.833333333333333#,49,2,0
2640,2.4087635,227,0.2071171645833333,66,F4.5#,49,2,0
2880,2.627742,683,0.6231763145833332,63,D4.25#,49,2,0
3600,3.2846775,455,0.4151467395833335,56,G3.666666666666667#,49,2,0
3600,3.2846775,455,0.4151467395833335,61,C4.083333333333333#,49,2,0
3600,3.2846775,455,0.4151467395833335,65,F4.416666666666667,49,2,0
4080,3.7226345,227,0.2071171645833333,63,D4.25#,49,2,0
4320,3.941613,455,0.41514673958333304,61,C4.083333333333333#,49,2,0
4800,4.37957,455,0.41514673958333304,61,C4.083333333333333#,49,2,0
5520,5.0365055,455,0.41514673958333304,51,D3.25#,49,2,0
6000,5.4744625,227,0.20711716458333376,54,F3.5#,49,2,0
6240,5.693441,227,0.20711716458333376,58,A3.833333333333333#,49,2,0
6480,5.9124195,227,0.20711716458333376,66,F4.5#,49,2,0
6720,6.131398,683,0.6231763145833332,63,D4.25#,49,2,0
7440,6.7883335,455,0.41514673958333304,56,G3.666666666666667#,49,2,0
7440,6.7883335,455,0.41514673958333304,61,C4.083333333333333#,49,2,0
7440,6.7883335,455,0.41514673958333304,65,F4.416666666666667,49,2,0
7920,7.2262905,227,0.20711716458333376,63,D4.25#,49,2,0
8160,7.445269,911,0.8312058895833334,61,C4.083333333333333#,49,2,0
9360,8.5401615,455,0.415146739583334,51,D3.25#,49,2,0
9840,8.9781185,227,0.20711716458333285,54,F3.5#,49,2,0
10080,9.197097,227,0.20711716458333285,58,A3.833333333333333#,49,2,0
10320,9.4160755,227,0.20711716458333285,66,F4.5#,49,2,0
10560,9.635054,683,0.6231763145833332,63,D4.25#,49,2,0
11280,10.2919895,455,0.415146739583334,56,G3.666666666666667#,49,2,0
11280,10.2919895,455,0.415146739583334,61,C4.083333333333333#,49,2,0
11280,10.2919895,455,0.415146739583334,65,F4.416666666666667,49,2,0
11760,10.7299465,227,0.20711716458333285,63,D4.25#,49,2,0
12000,10.948925,455,0.415146739583334,61,C4.083333333333333#,49,2,0
12480,11.386882,455,0.415146739583334,61,C4.083333333333333#,49,2,0
13200,12.0438175,455,0.415146739583334,51,D3.25#,49,2,0
13680,12.4817745,227,0.20711716458333285,54,F3.5#,49,2,0
13920,12.700753,227,0.20711716458333285,58,A3.833333333333333#,49,2,0
14160,12.9197315,227,0.20711716458333285,66,F4.5#,49,2,0
14400,13.13871,683,0.6231763145833332,63,D4.25#,49,2,0
15120,13.7956455,455,0.415146739583334,56,G3.666666666666667#,49,2,0
15120,13.7956455,455,0.415146739583334,61,C4.083333333333333#,49,2,0
15120,13.7956455,455,0.415146739583334,65,F4.416666666666667,49,2,0
15600,14.2336025,227,0.20711716458333285,63,D4.25#,49,2,0
15840,14.452581,455,0.415146739583334,61,C4.083333333333333#,49,2,0
16320,14.890538,911,0.8312058895833324,61,C4.083333333333333#,49,2,0
17280,15.766452,227,0.20711716458333285,51,D3.25#,80,2,0
17520,15.9854305,239,0.2180660895833336,51,D3.25#,96,2,0
17520,15.9854305,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
17760,16.204409,479,0.4370445895833336,51,D3.25#,96,2,0
17760,16.204409,479,0.4370445895833336,58,A3.833333333333333#,96,2,0
18240,16.642366,479,0.4370445895833336,51,D3.25#,96,2,0
18240,16.642366,479,0.4370445895833336,58,A3.833333333333333#,96,2,0
18960,17.2993015,239,0.2180660895833336,49,C3.083333333333333#,96,2,0
18960,17.2993015,239,0.2180660895833336,56,G3.666666666666667#,96,2,0
19200,17.51828,479,0.4370445895833336,49,C3.083333333333333#,96,2,0
19200,17.51828,479,0.4370445895833336,56,G3.666666666666667#,96,2,0
19680,17.956237,479,0.4370445895833336,49,C3.083333333333333#,96,2,0
19680,17.956237,479,0.4370445895833336,56,G3.666666666666667#,96,2,0
21120,19.270108,227,0.20711716458333285,51,D3.25#,80,2,0
21360,19.4890865,239,0.2180660895833336,51,D3.25#,96,2,0
21360,19.4890865,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
21600,19.708065,479,0.4370445895833336,51,D3.25#,96,2,0
21600,19.708065,479,0.4370445895833336,58,A3.833333333333333#,96,2,0
22080,20.146022,479,0.4370445895833336,51,D3.25#,96,2,0
22080,20.146022,479,0.4370445895833336,58,A3.833333333333333#,96,2,0
22800,20.8029575,239,0.2180660895833336,49,C3.083333333333333#,96,2,0
22800,20.8029575,239,0.2180660895833336,56,G3.666666666666667#,96,2,0
23040,21.021936,479,0.4370445895833336,49,C3.083333333333333#,96,2,0
23040,21.021936,479,0.4370445895833336,56,G3.666666666666667#,96,2,0
23520,21.459893,479,0.4370445895833336,49,C3.083333333333333#,96,2,0
23520,21.459893,479,0.4370445895833336,56,G3.666666666666667#,96,2,0
24960,22.773764,227,0.20711716458333285,47,B2.9166666666666665,80,2,0
25200,22.9927425,239,0.2180660895833336,47,B2.9166666666666665,96,2,0
25200,22.9927425,239,0.2180660895833336,54,F3.5#,96,2,0
25440,23.211721,479,0.4370445895833336,47,B2.9166666666666665,96,2,0
25440,23.211721,479,0.4370445895833336,54,F3.5#,96,2,0
25920,23.649678,479,0.4370445895833336,47,B2.9166666666666665,96,2,0
25920,23.649678,479,0.4370445895833336,54,F3.5#,96,2,0
26640,24.3066135,239,0.2180660895833336,49,C3.083333333333333#,96,2,0
26640,24.3066135,239,0.2180660895833336,56,G3.666666666666667#,96,2,0
26880,24.525592,479,0.4370445895833336,49,C3.083333333333333#,96,2,0
26880,24.525592,479,0.4370445895833336,56,G3.666666666666667#,96,2,0
27360,24.963549,479,0.4370445895833336,49,C3.083333333333333#,96,2,0
27360,24.963549,479,0.4370445895833336,56,G3.666666666666667#,96,2,0
28800,26.27742,227,0.20711716458333285,51,D3.25#,80,2,0
29040,26.4963985,239,0.2180660895833336,51,D3.25#,96,2,0
29040,26.4963985,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
29280,26.715377,479,0.4370445895833336,51,D3.25#,96,2,0
29280,26.715377,479,0.4370445895833336,58,A3.833333333333333#,96,2,0
29760,27.153334,479,0.4370445895833336,51,D3.25#,96,2,0
29760,27.153334,479,0.4370445895833336,58,A3.833333333333333#,96,2,0
30480,27.8102695,239,0.2180660895833336,49,C3.083333333333333#,96,2,0
30480,27.8102695,239,0.2180660895833336,56,G3.666666666666667#,96,2,0
30720,28.029248,719,0.6560230895833336,49,C3.083333333333333#,96,2,0
30720,28.029248,719,0.6560230895833336,56,G3.666666666666667#,96,2,0
31440,28.6861835,227,0.20711716458333285,53,F3.416666666666667,80,2,0
31680,28.905162,239,0.2180660895833336,54,F3.5#,80,2,0
31920,29.1241405,239,0.2180660895833336,53,F3.416666666666667,80,2,0
32160,29.343119,239,0.2180660895833336,51,D3.25#,80,2,0
32400,29.5620975,227,0.20711716458333285,49,C3.083333333333333#,80,2,0
32640,29.781076,1823,1.663324189583335,51,D3.25#,80,2,0
32880,30.0000545,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
33120,30.219033,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
33360,30.4380115,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
33600,30.65699,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
33840,30.8759685,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
34080,31.094947,239,0.2180660895833336,56,G3.666666666666667#,96,2,0
34320,31.3139255,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
34560,31.532904,239,0.2180660895833336,61,C4.083333333333333#,96,2,0
34560,31.532904,1823,1.663324189583335,49,C3.083333333333333#,80,2,0
34800,31.7518825,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
35040,31.970861,479,0.4370445895833336,56,G3.666666666666667#,96,2,0
35520,32.408818,719,0.6560230895833336,58,A3.833333333333333#,96,2,0
36240,33.0657535,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
36480,33.284732,239,0.2180660895833336,58,A3.833333333333333#,96,2,0
36480,33.284732,1823,1.6633241895833313,51,D3.25#,80,2,0
36720,33.5037105,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
36960,33.722689,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
37200,33.9416675,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
37440,34.160646,239,0.21806608958332985,56,G3.666666666666667#,96,2,0
37680,34.3796245,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
37920,34.598603,239,0.21806608958332985,56,G3.666666666666667#,96,2,0
38160,34.8175815,239,0.21806608958332985,54,F3.5#,96,2,0
38400,35.03656,239,0.21806608958332985,56,G3.666666666666667#,96,2,0
38400,35.03656,1823,1.6633241895833313,49,C3.083333333333333#,80,2,0
38640,35.2555385,239,0.21806608958332985,54,F3.5#,96,2,0
38880,35.474517,959,0.8750015895833299,58,A3.833333333333333#,96,2,0
40080,36.5694095,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
40320,36.788388,239,0.21806608958332985,56,G3.666666666666667#,96,2,0
40320,36.788388,1823,1.6633241895833313,47,B2.9166666666666665,80,2,0
40560,37.0073665,239,0.21806608958332985,54,F3.5#,96,2,0
40800,37.226345,479,0.43704458958332987,51,D3.25#,96,2,0
41280,37.664302,479,0.43704458958332987,51,D3.25#,96,2,0
41760,38.102259,239,0.21806608958332985,51,D3.25#,96,2,0
42000,38.3212375,239,0.21806608958332985,51,D3.25#,96,2,0
42240,38.540216,239,0.21806608958332985,53,F3.416666666666667,96,2,0
42240,38.540216,455,0.4151467395833358,49,C3.083333333333333#,80,2,0
42480,38.7591945,239,0.21806608958332985,51,D3.25#,96,2,0
42720,38.978173,479,0.43704458958332987,49,C3.083333333333333#,96,2,0
43200,39.41613,479,0.43704458958332987,49,C3.083333333333333#,96,2,0
43680,39.854087,479,0.43704458958332987,51,D3.25#,96,2,0
44160,40.292044,239,0.21806608958332985,54,F3.5#,96,2,0
44160,40.292044,1367,1.247265039583333,39,D2.25#,80,2,0
44400,40.5110225,1151,1.0501843895833343,51,D3.25#,96,2,0
45600,41.605915,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
45840,41.8248935,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
46080,42.043872,239,0.21806608958332985,61,C4.083333333333333#,96,2,0
46080,42.043872,1367,1.247265039583333,49,C3.083333333333333#,80,2,0
46320,42.2628505,239,0.21806608958332985,58,A3.833333333333333#,96,2,0
46560,42.481829,479,0.43704458958332987,56,G3.666666666666667#,96,2,0
47040,42.919786,479,0.43704458958332987,58,A3.833333333333333#,96,2,0
47520,43.357743,227,0.20711716458333285,56,G3.666666666666667#,80,2,0
47760,43.5767215,467,0.4260956645833328,39,D2.25#,115,2,0
48240,44.0146785,227,0.20711716458333285,42,F2.5#,96,2,0
48480,44.233657,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
48720,44.4526355,227,0.20711716458333285,54,F3.5#,96,2,0
48960,44.671614,683,0.6231763145833313,51,D3.25#,96,2,0
49680,45.3285495,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
49680,45.3285495,455,0.4151467395833358,53,F3.416666666666667,96,2,0
50160,45.7665065,227,0.20711716458333285,51,D3.25#,96,2,0
50400,45.985485,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
50880,46.423442,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
51600,47.0803775,467,0.4260956645833328,39,D2.25#,115,2,0
52080,47.5183345,227,0.20711716458333285,42,F2.5#,96,2,0
52320,47.737313,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
52560,47.9562915,227,0.20711716458333285,54,F3.5#,96,2,0
52800,48.17527,683,0.6231763145833313,51,D3.25#,96,2,0
53520,48.8322055,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
53520,48.8322055,455,0.4151467395833358,53,F3.416666666666667,96,2,0
54000,49.2701625,227,0.20711716458333285,51,D3.25#,96,2,0
54240,49.489141,911,0.8312058895833343,49,C3.083333333333333#,96,2,0
55440,50.5840335,467,0.4260956645833328,39,D2.25#,115,2,0
55920,51.0219905,227,0.20711716458333285,42,F2.5#,96,2,0
56160,51.240969,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
56400,51.4599475,227,0.20711716458333285,54,F3.5#,96,2,0
56640,51.678926,683,0.6231763145833313,51,D3.25#,96,2,0
57360,52.3358615,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
57360,52.3358615,455,0.4151467395833358,53,F3.416666666666667,96,2,0
57840,52.7738185,227,0.20711716458333285,51,D3.25#,96,2,0
58080,52.992797,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
58560,53.430754,683,0.6231763145833313,49,C3.083333333333333#,96,2,0
59280,54.0876895,467,0.4260956645833328,39,D2.25#,115,2,0
59760,54.5256465,227,0.20711716458333285,42,F2.5#,96,2,0
60000,54.744625,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
60240,54.9636035,227,0.20711716458333285,54,F3.5#,96,2,0
60480,55.182582,683,0.6231763145833313,51,D3.25#,96,2,0
61200,55.8395175,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
61200,55.8395175,455,0.4151467395833358,53,F3.416666666666667,96,2,0
61680,56.2774745,227,0.20711716458333285,51,D3.25#,96,2,0
61920,56.496453,911,0.8312058895833343,49,C3.083333333333333#,96,2,0
63120,57.5913455,467,0.4260956645833328,39,D2.25#,115,2,0
63600,58.0293025,227,0.20711716458333285,42,F2.5#,96,2,0
63840,58.248281,227,0.20711716458333285,46,A2.8333333333333335#,96,2,0
64080,58.4672595,227,0.20711716458333285,54,F3.5#,96,2,0
64320,58.686238,683,0.6231763145833313,51,D3.25#,96,2,0
65040,59.3431735,455,0.4151467395833358,49,C3.083333333333333#,96,2,0
