theta,pitch,note,note_start_secs,note_duration_secs,cx,cy
0.00874,51.0,0,0.28375,0.28375,0.44571,50.99805
0.01798,58.0,0,0.58375,0.28375,1.04275,57.99063
0.02722,63.0,0,0.88375,0.28375,1.71461,62.97666
0.03646,58.0,0,1.18375,0.28375,2.11418,57.96145
0.0457,66.0,0,1.48375,0.28375,3.01511,65.93109
0.05494,65.0,0,1.78375,0.28375,3.56926,64.90193
0.06418,63.0,0,2.08375,0.28375,4.04052,62.8703
0.07342,58.0,0,2.38375,0.28375,4.2545,57.84375
0.08266,49.0,0,2.68375,0.28375,4.0457,48.8327
0.0919,56.0,0,2.98375,0.28375,5.13912,55.76369
0.10114,61.0,0,3.28374,0.28375,6.15898,60.68828
0.11038,63.0,0,3.58374,0.28375,6.93978,62.61661
0.14595,65.0,0,4.73874,1.13875,9.45331,64.3089
0.15658,46.0,0,5.08374,0.28375,7.17324,45.43726
0.16582,56.0,0,5.38374,0.28375,9.24337,55.23188
0.17506,61.0,0,5.68374,0.28375,10.62415,60.06769
0.1843,56.0,0,5.98374,0.28375,10.26242,55.05164
0.19354,65.0,0,6.28374,0.28375,12.50165,63.78643
0.20278,63.0,0,6.58374,0.28375,12.68771,61.70917
0.21202,61.0,0,6.88374,0.28375,12.83648,59.63409
0.22126,56.0,0,7.18374,0.28375,12.28965,54.63483
0.2305,47.0,0,7.48374,0.28375,10.73778,45.75697
0.23974,54.0,0,7.78374,0.28375,12.82225,52.4556
0.24898,59.0,0,8.08374,0.28375,14.53845,57.18071
0.25822,61.0,0,8.38374,0.28375,15.57689,58.97763
0.29379,63.0,0,9.53873,1.13875,18.24383,60.3006
0.30442,51.0,0,9.88373,0.28375,15.28668,48.65509
0.31366,58.0,0,10.18373,0.28375,17.89538,55.17024
0.3229,63.0,0,10.48373,0.28375,19.99096,59.74413
0.33214,58.0,0,10.78373,0.28375,18.91181,54.83013
0.34138,66.0,0,11.08373,0.28375,22.09591,62.1914
0.35062,65.0,0,11.38373,0.28375,22.32613,61.04543
0.35986,63.0,0,11.68373,0.28375,22.18494,58.96464
0.3691,58.0,0,11.98373,0.28375,20.92495,54.09387
0.37834,49.0,0,12.28373,0.28375,18.09948,45.5347
0.38758,56.0,0,12.58373,0.28375,21.16507,51.84631
0.39682,61.0,0,12.88373,0.28375,23.57565,56.26001
0.40606,63.0,0,13.18373,0.28375,24.88446,57.87714
0.44163,56.0,0,14.33873,1.13875,23.93529,50.62709
0.45226,46.0,0,14.68373,0.28375,20.10191,41.37527
0.4615,56.0,0,14.98373,0.28375,24.93626,50.14163
0.47074,61.0,0,15.28372,0.28375,27.66621,54.36525
0.47998,56.0,0,15.58372,0.28375,25.85856,49.67227
0.48922,65.0,0,15.88372,0.28375,30.54584,57.37553
0.49846,63.0,0,16.18372,0.28375,30.11854,55.3342
0.5077,61.0,0,16.48372,0.28375,29.6562,53.30582
0.51694,56.0,0,16.78372,0.28375,27.67636,48.68284
0.52618,47.0,0,17.08372,0.28375,23.60492,40.64244
0.53542,54.0,0,17.38372,0.28375,27.55084,46.44299
0.54466,59.0,0,17.68372,0.28375,30.56942,50.46296
0.5539,61.0,0,17.98372,0.28375,32.0864,51.87931
0.58947,63.0,0,19.13872,1.13875,35.02311,52.36776
0.6001,51.0,0,19.48372,0.28375,28.8009,42.08929
0.60934,58.0,0,19.78372,0.28375,33.19484,47.56157
0.61858,63.0,0,20.08372,0.28375,36.53227,51.32634
0.62782,58.0,0,20.38372,0.28375,34.06806,46.94004
0.63706,66.0,0,20.68372,0.28375,39.25898,53.05405
0.6463,65.0,0,20.98372,0.28375,39.14529,51.89072
0.65554,63.0,0,21.28371,0.28375,38.4039,49.94137
0.66478,58.0,0,21.58371,0.28375,35.77929,45.64912
0.67402,49.0,0,21.88371,0.28375,30.58238,38.28469
0.68326,56.0,0,22.18371,0.28375,35.35408,43.42912
0.6925,61.0,0,22.48371,0.28375,38.94616,46.94887
0.70174,63.0,0,22.78371,0.28375,40.66939,48.11445
0.73731,56.0,0,23.93871,1.13875,37.64882,41.4556
0.74794,46.0,0,24.28371,0.28375,31.28591,33.72228
0.75718,56.0,0,24.58371,0.28375,38.46489,40.69954
0.76642,61.0,0,24.88371,0.28375,42.3071,43.94439
0.77566,56.0,0,25.18371,0.28375,39.2104,39.9818
0.7849,65.0,0,25.48371,0.28375,45.93893,45.98494
0.79414,63.0,0,25.78371,0.28375,44.93534,44.15671
0.80338,61.0,0,26.08371,0.28375,43.90202,42.35107
0.81262,56.0,0,26.38371,0.28375,40.66101,38.50561
0.82186,47.0,0,26.68371,0.28375,34.42336,32.00051
0.8311,54.0,0,26.98371,0.28375,39.88827,36.39953
0.84034,59.0,0,27.2837,0.28375,43.94723,39.36548
0.84958,61.0,0,27.5837,0.28375,45.81109,40.27833
0.88515,63.0,0,28.7387,1.13875,48.76269,39.88985
0.89578,39.0,0,29.0837,0.28375,30.44711,24.37157
0.90502,58.0,0,29.3837,0.28375,45.61328,35.82497
0.91426,63.0,0,29.6837,0.28375,49.9029,38.45388
0.9235,58.0,0,29.9837,0.28375,46.2675,34.97597
0.93274,66.0,0,30.2837,0.28375,53.01472,39.31207
0.94198,65.0,0,30.5837,0.28375,52.56698,38.23236
0.95122,63.0,0,30.8837,0.28375,51.28975,36.58363
0.96046,58.0,0,31.1837,0.28375,47.52832,33.24243
0.9697,37.0,0,31.4837,0.28375,30.51444,20.92532
0.97894,56.0,0,31.7837,0.28375,46.47467,31.24267
0.98818,61.0,0,32.0837,0.28375,50.93649,33.56298
0.99742,63.0,0,32.3837,0.28375,52.92458,34.17585
1.03299,65.0,0,33.53869,1.13875,55.82428,33.2964
1.04362,34.0,0,33.88369,0.28375,29.38381,17.10532
1.05286,56.0,0,34.18369,0.28375,48.65511,27.72508
1.0621,61.0,0,34.48369,0.28375,53.2761,29.70954
1.07134,56.0,0,34.78369,0.28375,49.15913,26.82126
1.08058,65.0,0,35.08369,0.28375,57.34492,30.60326
1.08982,63.0,0,35.38369,0.28375,55.85216,29.1468
1.09906,61.0,0,35.68369,0.28375,54.33753,27.72062
1.1083,56.0,0,35.98369,0.28375,50.11664,24.98643
1.11754,35.0,0,36.28369,0.28375,31.46586,15.32644
1.12678,54.0,0,36.58369,0.28375,48.76374,23.19692
1.13602,59.0,0,36.88369,0.28375,53.51081,24.85141
1.14526,61.0,0,37.18369,0.28375,55.55979,25.18155
1.16327,63.0,0,37.76869,0.56875,57.84067,24.96911
