theta,pitch,note,note_start_secs,note_duration_secs,cx,cy
0.05325,47.0,0,0.24896,0.24896,2.50162,46.93338
0.13346,59.0,0,0.62396,0.37396,7.8509,58.47532
0.13346,54.0,1,0.62396,0.37396,7.18557,53.51979
0.1602,47.0,0,0.74896,0.12396,7.49719,46.39819
0.18694,59.0,0,0.87396,0.12396,10.96509,57.97212
0.18694,54.0,1,0.87396,0.12396,10.03585,53.05923
0.21367,47.0,0,0.99896,0.12396,9.96638,45.93116
0.26715,43.0,0,1.24896,0.24896,11.35116,41.4747
0.32062,55.0,0,1.49896,0.24896,17.33356,52.1972
0.32062,50.0,1,1.49896,0.24896,15.75778,47.452
0.34736,55.0,0,1.62396,0.12396,18.7228,51.71515
0.37409,43.0,0,1.74896,0.12396,15.71349,40.02607
0.40083,55.0,0,1.87396,0.12396,21.46013,50.64053
0.40083,50.0,1,1.87396,0.12396,19.50921,46.03684
0.42757,43.0,0,1.99896,0.12396,17.83036,39.129
0.48104,50.0,0,2.24896,0.24896,23.13518,44.32565
0.56125,62.0,0,2.62396,0.37396,32.99936,52.4885
0.56125,57.0,1,2.62396,0.37396,30.33812,48.25556
0.58799,50.0,0,2.74896,0.12396,27.7345,41.60286
0.61473,62.0,0,2.87396,0.12396,35.75761,50.64971
0.61473,57.0,1,2.87396,0.12396,32.87394,46.56505
0.64146,50.0,0,2.99896,0.12396,29.91846,40.06102
0.69494,45.0,0,3.24896,0.24896,28.81521,34.5642
0.72168,57.0,0,3.37396,0.12396,37.65666,42.78991
0.72168,52.0,1,3.37396,0.12396,34.35344,39.03641
0.74841,49.0,0,3.49896,0.12396,33.34332,35.90575
0.80189,45.0,0,3.74896,0.24896,32.34009,31.29087
0.82862,57.0,0,3.87396,0.12396,42.00907,38.5258
0.82862,52.0,1,3.87396,0.12396,38.32407,35.14635
0.85536,49.0,0,3.99896,0.12396,36.98554,32.1414
0.90883,47.0,0,4.24896,0.24896,37.07301,28.8893
0.98904,59.0,0,4.62396,0.37396,49.29458,32.41981
0.98904,54.0,1,4.62396,0.37396,45.11708,29.67237
1.01578,47.0,0,4.74896,0.12396,39.94496,24.76692
1.04252,59.0,0,4.87396,0.12396,50.95691,29.73875
1.04252,54.0,1,4.87396,0.12396,46.63853,27.21852
1.06926,47.0,0,4.99896,0.12396,41.21161,22.59653
1.12273,43.0,0,5.24896,0.24896,38.75531,18.62863
1.1762,55.0,0,5.49896,0.24896,50.77342,21.14378
1.1762,50.0,1,5.49896,0.24896,46.15766,19.22162
1.20294,55.0,0,5.62396,0.12396,51.32053,19.77886
1.22968,43.0,0,5.74896,0.12396,40.52238,14.3853
1.25641,55.0,0,5.87396,0.12396,52.30432,17.00759
1.25641,50.0,1,5.87396,0.12396,47.54938,15.46144
1.28315,43.0,0,5.99896,0.12396,41.23333,12.19888
1.33663,50.0,0,6.24896,0.24896,48.63535,11.60184
1.41684,62.0,0,6.62396,0.37396,61.26663,9.50787
1.41684,57.0,1,6.62396,0.37396,56.32578,8.74111
1.44357,50.0,0,6.74896,0.12396,49.5959,6.34402
