theta,pitch,note,note_start_secs,note_duration_secs,cx,cy
0.01618,69.0,0,0.63125,0.63125,1.11633,68.99097
0.01618,66.0,1,0.63125,0.63125,1.06779,65.99136
0.01618,61.0,2,0.63125,0.63125,0.9869,60.99202
0.03211,69.0,0,1.25268,0.60982,2.21501,68.96444
0.03211,66.0,1,1.25268,0.60982,2.1187,65.96598
0.03211,61.0,2,1.25268,0.60982,1.95819,60.96856
0.04337,69.0,0,1.69197,0.40625,2.99133,68.93513
0.04337,66.0,1,1.69197,0.40625,2.86128,65.93795
0.04337,61.0,2,1.69197,0.40625,2.64451,60.94265
0.06012,69.0,0,2.34554,0.63125,4.14563,68.87535
0.06012,66.0,1,2.34554,0.63125,3.96538,65.88077
0.06012,62.0,2,2.34554,0.63125,3.72506,61.888
0.07605,69.0,0,2.96697,0.60982,5.24208,68.80059
0.07605,66.0,1,2.96697,0.60982,5.01416,65.80926
0.07605,62.0,2,2.96697,0.60982,4.71027,61.82082
0.0873,69.0,0,3.40625,0.40625,6.01637,68.7372
0.0873,66.0,1,3.40625,0.40625,5.75479,65.74863
0.0873,62.0,2,3.40625,0.40625,5.40601,61.76387
0.10406,69.0,0,4.05983,0.63125,7.16692,68.62678
0.10406,64.0,1,4.05983,0.63125,6.64758,63.65383
0.10406,61.0,2,4.05983,0.63125,6.33597,60.67005
0.11998,69.0,0,4.68126,0.60982,8.25903,68.50393
0.11998,64.0,1,4.68126,0.60982,7.66055,63.53988
0.11998,61.0,2,4.68126,0.60982,7.30146,60.56145
0.13124,69.0,0,5.12054,0.40625,9.02979,68.4066
0.13124,64.0,1,5.12054,0.40625,8.37546,63.4496
0.13124,61.0,2,5.12054,0.40625,7.98286,60.4754
0.14799,68.0,0,5.77411,0.63125,10.02693,67.25668
0.14799,64.0,1,5.77411,0.63125,9.43711,63.3004
0.14799,59.0,2,5.77411,0.63125,8.69983,58.35506
0.16392,68.0,0,6.39554,0.60982,11.09685,67.08845
0.16392,64.0,1,6.39554,0.60982,10.4441,63.14207
0.16392,59.0,2,6.39554,0.60982,9.62815,58.20909
0.17518,68.0,0,6.83483,0.40625,11.85149,66.95926
0.17518,64.0,1,6.83483,0.40625,11.15435,63.02048
0.17518,59.0,2,6.83483,0.40625,10.28291,58.097
0.19193,69.0,0,7.4884,0.63125,13.1622,67.73298
0.19193,66.0,1,7.4884,0.63125,12.58993,64.78807
0.19193,61.0,2,7.4884,0.63125,11.63615,59.87988
0.20786,69.0,0,8.10983,0.60982,14.23932,67.51475
0.20786,66.0,1,8.10983,0.60982,13.62022,64.57933
0.20786,61.0,2,8.10983,0.60982,12.58838,59.68696
0.21912,69.0,0,8.54912,0.40625,14.99856,67.35015
0.21912,66.0,1,8.54912,0.40625,14.34645,64.42189
0.21912,61.0,2,8.54912,0.40625,13.2596,59.54144
0.23587,69.0,0,9.20269,0.63125,16.12462,67.08947
0.23587,66.0,1,9.20269,0.63125,15.42355,64.17253
0.23587,62.0,2,9.20269,0.63125,14.48879,60.28329
0.2518,69.0,0,9.82412,0.60982,17.19111,66.82414
0.2518,66.0,1,9.82412,0.60982,16.44367,63.91874
0.2518,62.0,2,9.82412,0.60982,15.44708,60.04488
0.26306,69.0,0,10.26341,0.40625,17.94239,66.62635
0.26306,66.0,1,10.26341,0.40625,17.16228,63.72955
0.26306,62.0,2,10.26341,0.40625,16.12215,59.86716
0.27981,69.0,0,10.91698,0.63125,19.05591,66.31646
0.27981,64.0,1,10.91698,0.63125,17.67505,61.51092
0.27981,61.0,2,10.91698,0.63125,16.84653,58.62759
0.29574,69.0,0,11.53841,0.60982,20.10971,66.00454
0.29574,64.0,1,11.53841,0.60982,18.65249,61.2216
0.29574,61.0,2,11.53841,0.60982,17.77815,58.35184
0.307,69.0,0,11.97769,0.40625,20.85158,65.77394
0.307,64.0,1,11.97769,0.40625,19.3406,61.00772
0.307,61.0,2,11.97769,0.40625,18.43401,58.14798
0.32375,68.0,0,12.63127,0.63125,21.63229,64.46739
0.32375,64.0,1,12.63127,0.63125,20.35981,60.67519
0.32375,59.0,2,12.63127,0.63125,18.7692,55.93494
0.33968,68.0,0,13.2527,0.60982,22.65632,64.11467
0.33968,64.0,1,13.2527,0.60982,21.3236,60.34322
0.33968,59.0,2,13.2527,0.60982,19.65769,55.62891
0.35093,68.0,0,13.69198,0.40625,23.37675,63.85552
0.35093,64.0,1,13.69198,0.40625,22.00165,60.09931
0.35093,59.0,2,13.69198,0.40625,20.28277,55.40405
0.36769,69.0,0,14.34555,0.63125,24.80255,64.38815
0.36769,66.0,1,14.34555,0.63125,23.72418,61.58866
0.36769,61.0,2,14.34555,0.63125,21.9269,56.92285
0.38361,69.0,0,14.96698,0.60982,25.82492,63.98495
0.38361,66.0,1,14.96698,0.60982,24.70209,61.20299
0.38361,61.0,2,14.96698,0.60982,22.83072,56.5664
0.39487,69.0,0,15.40627,0.40625,26.54368,63.69013
0.39487,66.0,1,15.40627,0.40625,25.38961,60.921
0.39487,61.0,2,15.40627,0.40625,23.46616,56.30577
0.41162,69.0,0,16.05984,0.63125,27.60682,63.23657
0.41162,66.0,1,16.05984,0.63125,26.40652,60.48715
0.41162,62.0,2,16.05984,0.63125,24.80612,56.82127
0.42755,69.0,0,16.68127,0.60982,28.61048,62.78886
0.42755,66.0,1,16.68127,0.60982,27.36655,60.05891
0.42755,62.0,2,16.68127,0.60982,25.70797,56.41897
0.43881,69.0,0,17.12056,0.40625,29.31561,62.46275
0.43881,66.0,1,17.12056,0.40625,28.04101,59.74698
0.43881,62.0,2,17.12056,0.40625,26.34156,56.12595
0.45556,69.0,0,17.77413,0.63125,30.35779,61.96293
0.45556,64.0,1,17.77413,0.63125,28.15795,57.47286
0.45556,61.0,2,17.77413,0.63125,26.83804,54.77882
0.47149,69.0,0,18.39556,0.60982,31.34082,61.47156
0.47149,64.0,1,18.39556,0.60982,29.06975,57.0171
0.47149,61.0,2,18.39556,0.60982,27.7071,54.34442
0.48275,69.0,0,18.83485,0.40625,32.03094,61.1148
0.48275,64.0,1,18.83485,0.40625,29.70986,56.68619
0.48275,61.0,2,18.83485,0.40625,28.31721,54.02903
0.4995,68.0,0,19.48842,0.63125,32.57117,59.69186
0.4995,64.0,1,19.48842,0.63125,30.65522,56.18058
0.4995,59.0,2,19.48842,0.63125,28.26028,51.79147
0.51543,68.0,0,20.10985,0.60982,33.51775,59.16553
0.51543,64.0,1,20.10985,0.60982,31.54612,55.68521
0.51543,59.0,2,20.10985,0.60982,29.08158,51.3348
