id,0,1,2,3,4
0,1.0,1.0,1.0,0.964,0.929
1,1.0,0.964,0.964,0.964,0.964
2,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,0.964,0.964,0.964
4,1.0,1.0,1.0,0.964,0.929
5,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,0.964,0.964,0.964
7,1.0,1.0,1.0,1.0,1.0
8,1.0,0.964,0.964,0.964,0.964
9,1.0,1.0,1.0,1.0,0.964
10,0.964,0.964,0.964,0.929,0.929
11,0.964,0.929,0.929,0.929,0.929
12,1.0,1.0,1.0,1.0,1.0
13,0.964,0.893,0.786,0.714,0.714
14,1.0,1.0,1.0,1.0,1.0
15,1.0,1.0,1.0,1.0,0.964
16,1.0,0.964,0.964,0.964,0.964
17,1.0,0.964,0.964,0.964,0.964
18,1.0,0.964,0.964,0.964,0.964
19,1.0,0.964,0.964,0.929,0.929
20,1.0,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,1.0,1.0
22,1.0,0.964,0.964,0.929,0.929
23,0.964,0.964,0.964,0.929,0.929
24,1.0,1.0,0.964,0.964,0.964
25,0.964,0.964,0.964,0.929,0.929
26,0.964,0.929,0.821,0.75,0.75
27,1.0,1.0,1.0,1.0,1.0
28,0.964,0.964,0.964,0.964,0.964
29,0.964,0.964,0.964,0.964,0.929
30,1.0,1.0,1.0,1.0,1.0
31,1.0,1.0,1.0,0.964,0.929
32,1.0,1.0,1.0,0.964,0.929
