symbol,prev_close,year_low,year_high,volume,beta,pe_ratio,eps
ATVI,58.47,41.84,64.53,"10,128,828",0.76,30.5,1.95
ADBE,318.39,255.13,386.75,"4,191,983",0.97,48.23,6.6
AMD,47.86,26.03,59.27,"83,483,749",2.83,151.6,0.3
ALXN,87.26,72.67,141.86,"3,039,638",1.62,8.39,10.7
ALGN,179.92,127.88,334.64,"894,476",2.07,31.46,5.53
GOOG,"1,146.82","1,013.54","1,532.11","1,920,449",1.03,23.65,49.16
GOOGL,"1,146.31","1,008.87","1,530.74","3,263,971",1.03,23.63,49.16
AMZN,"1,963.95","1,626.03","2,185.95","5,123,626",1.54,84.73,23.01
AAL,12.25,10.01,35.24,"43,774,254",1.9,3.22,3.79
AMGN,208.48,166.30,244.99,"2,929,128",1.13,15.74,12.88
ADI,90.97,79.08,127.30,"2,884,709",1.28,27.58,3.25
ANSS,235.13,174.25,299.06,"945,710",1.44,44.28,5.25
AAPL,254.81,170.27,327.85,"49,250,501",1.29,20.19,12.6
AMAT,47.30,36.64,69.44,"10,502,321",1.45,15.2,3.02
ASML,268.03,186.31,319.22,"882,245",1.03,37.6,6.96
ADSK,155.91,125.38,211.58,"3,679,702",1.63,162.6,0.96
ADP,137.82,103.11,182.32,"2,699,241",0.89,24.14,5.66
BIDU,98.95,82.00,186.22,"4,091,788",1.74,7.85,12.83
BIIB,316.13,215.78,374.99,"2,869,284",0.88,10.07,31.42
BMRN,82.49,62.88,97.10,"2,378,287",1.17,,-0.13
BKNG,"1,308.23","1,107.29","2,094.00","694,979",0.94,12.03,111.82
AVGO,240.11,155.67,331.58,"5,021,531",0.87,39.22,6.05
CDNS,66.91,51.39,80.40,"2,569,738",1.16,18.71,3.53
CDW,96.91,73.39,146.09,"2,022,498",1.12,18.69,4.99
CERN,64.24,53.08,80.90,"2,314,930",0.9,38.18,1.65
CHTR,450.78,343.15,546.54,"1,726,001",1.05,58.57,7.45
CHKP,99.19,80.06,132.76,"1,742,998",0.76,18.52,5.43
CTAS,180.45,154.33,304.81,"1,613,673",0.94,19.65,8.81
CSCO,40.32,32.40,58.26,"26,019,845",1.2,15.33,2.56
CTXS,145.91,90.28,146.40,"2,223,251",1.0,28.14,5.03
CTSH,47.38,40.01,74.85,"4,472,296",0.89,14.12,3.29
CMCSA,35.26,31.71,47.74,"25,900,326",0.96,12.15,2.83
CPRT,71.84,55.69,104.88,"1,495,705",0.96,22.29,3.07
CSGP,599.99,473.91,746.70,"299,090",1.21,68.28,8.6
COST,291.12,233.05,325.26,"5,264,635",0.92,33.47,8.52
CSX,58.02,46.81,80.73,"4,192,338",1.17,13.74,4.17
DLTR,79.85,60.20,119.71,"5,923,906",0.44,21.17,3.47
EBAY,31.19,26.02,42.00,"15,531,348",1.07,14.36,2.09
EA,97.69,85.69,114.13,"3,762,591",1.04,10.55,9.5
EXC,37.23,29.28,51.18,"8,887,076",0.37,12.23,3.01
EXPE,56.39,40.76,144.00,"3,944,771",1.03,14.93,3.77
FB,165.95,137.10,224.20,"20,935,030",1.05,25.94,6.43
FAST,31.80,26.72,39.31,"7,565,980",1.21,22.64,1.38
FISV,98.33,73.50,125.05,"8,472,168",0.82,55.55,1.71
FOX,23.77,19.13,38.91,"2,027,311",,8.01,2.86
FOXA,24.31,19.81,39.74,"5,594,115",,8.27,2.86
GILD,75.93,60.89,85.97,"12,120,987",0.99,17.72,4.22
IDXX,241.02,168.65,296.25,"1,113,640",0.81,49.54,4.89
ILMN,276.23,196.78,380.76,"1,686,195",1.13,40.52,6.74
INCY,72.17,62.48,96.79,"1,324,448",0.91,35.72,2.05
INTC,55.49,42.86,69.29,"45,853,166",0.96,11.49,4.71
INTU,238.05,187.68,306.89,"1,699,255",0.96,37.22,6.18
ISRG,504.22,360.50,619.00,"1,068,328",1.11,42.91,11.54
JD,40.39,25.48,45.34,"13,869,216",1.26,275.51,0.15
KLAC,149.52,101.34,184.50,"2,769,459",1.58,20.17,7.13
LRCX,255.30,171.04,344.32,"2,787,519",1.49,17.77,13.5
LBTYA,16.69,15.24,28.62,"1,569,043",1.21,1.01,16.32
LBTYK,15.70,14.63,27.84,"3,292,752",1.21,0.96,16.32
LULU,193.94,128.85,266.20,"2,029,234",0.85,38.45,4.93
MAR,76.16,46.56,153.39,"4,578,486",1.29,19.69,3.8
MXIM,49.91,41.93,65.73,"1,833,469",1.44,17.06,2.85
MELI,473.29,422.22,756.48,"662,564",1.53,,-3.71
MCHP,68.99,53.15,112.47,"5,362,666",1.36,26.83,2.53
MU,44.52,31.13,61.19,"36,723,661",,20.77,
MSFT,160.23,118.38,190.70,"66,949,339",1.09,27.47,5.74
MDLZ,51.13,41.19,59.96,"9,248,777",0.77,18.9,2.65
MNST,58.00,50.06,70.52,"2,337,061",1.08,27.71,2.03
NTAP,40.72,34.66,78.35,"3,650,727",1.57,9.78,4.26
NTES,306.91,209.01,361.00,"860,463",0.9,48.13,6.67
NFLX,370.96,252.28,393.52,"9,366,464",1.23,90.92,4.13
NVDA,265.59,132.60,316.32,"23,749,014",1.67,58.32,4.52
NXPI,84.93,58.41,139.59,"2,563,135",1.34,97.56,0.85
ORLY,318.19,251.52,454.31,"1,014,790",0.71,16.84,17.88
PCAR,62.27,49.11,83.41,"2,264,502",1.26,8.9,6.87
PAYX,64.42,47.87,90.54,"5,369,586",0.86,20.5,3.07
PYPL,97.03,82.07,124.45,"9,882,034",0.92,46.25,2.07
