symbol,name,market_cap,close,IPOyear,Sector,Industry,trading_on
ATVI,Activision Blizzard,46699438722,60.71,,Technology,Computer Software: Prepackaged Software,NASDAQ
ADBE,Adobe,160628689302,332.38,1986.0,Technology,Computer Software: Prepackaged Software,NASDAQ
AMD,Advanced Micro Devices,53079240504,45.38,,Technology,Semiconductors,NASDAQ
ALXN,Alexion Pharmaceuticals,19669253468,88.84,1996.0,Health Care,Major Pharmaceuticals,NASDAQ
ALGN,Align Technology,17968321214,228.16,2001.0,Health Care,Industrial Specialties,NASDAQ
GOOG,Alphabet,879994236775,1280.39,2004.0,Technology,"Computer Software: Programming, Data Processing",NASDAQ
GOOGL,Alphabet,876406603385,1275.17,,Technology,"Computer Software: Programming, Data Processing",NASDAQ
AMZN,Amazon.com,941767754168,1891.82,1997.0,Consumer Services,Catalog/Specialty Distribution,NASDAQ
AAL,American Airlines Group,7242998648,17.0,,Transportation,Air Freight/Delivery Services,NASDAQ
AMGN,Amgen,121972050169,206.8,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADI,Analog Devices,37720466122,102.44,,Technology,Semiconductors,NASDAQ
ANSS,ANSYS,19684701600,229.12,1996.0,Technology,Computer Software: Prepackaged Software,NASDAQ
AAPL,Apple,1248499463200,285.34,1980.0,Technology,Computer Manufacturing,NASDAQ
AMAT,Applied Materials,51581198253,56.17,1972.0,Technology,Semiconductors,NASDAQ
ASML,ASML Holding N.V.,119082558791,279.76,1995.0,Technology,Industrial Machinery/Components,NASDAQ
ADSK,Autodesk,36191028169,164.48,,Technology,Computer Software: Prepackaged Software,NASDAQ
ADP,Automatic Data Processing,66671491594,154.42,,Technology,EDP Services,NASDAQ
BIDU,"Baidu, Inc. ADS",38701695413,111.91,2005.0,Technology,"Computer Software: Programming, Data Processing",NASDAQ
BIIB,Biogen,53199183682,305.63,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
BMRN,BioMarin Pharmaceutical,16070954771,89.32,1999.0,Health Care,Major Pharmaceuticals,NASDAQ
BKNG,Booking Holdings,64015368026,1559.0,,Miscellaneous,Business Services,NASDAQ
AVGO,Broadcom,105017662259,262.9,2009.0,Technology,Semiconductors,NASDAQ
CDNS,Cadence Design Systems,17628170560,62.92,,Technology,Computer Software: Prepackaged Software,NASDAQ
CDW,CDW Corporation,14861089495,104.09,2013.0,Consumer Services,Catalog/Specialty Distribution,NASDAQ
CERN,Cerner Corporation,21567372025,69.14,1986.0,Technology,EDP Services,NASDAQ
CHTR,"Charter Communications, New",100108140597,476.76,,Consumer Services,Television Services,NASDAQ
CHKP,Check Point Software Technologies Ltd.,14118691972,92.74,1996.0,Technology,Computer Software: Prepackaged Software,NASDAQ
CTAS,Cintas Corporation,27848789199,268.42,1983.0,Consumer Non-Durables,Apparel,NASDAQ
CSCO,Cisco Systems,169974476853,40.08,1990.0,Technology,Computer Communications Equipment,NASDAQ
CTXS,Citrix Systems,14044270293,114.78,1995.0,Technology,Computer Software: Prepackaged Software,NASDAQ
