symbol,name,market_cap,close
ATVI,"Activision Blizzard, Inc. Common Stock","46,69,94,38,722",$60.71
ADBE,Adobe Inc. Common Stock,"1,60,62,86,89,302",$332.38
AMD,"Advanced Micro Devices, Inc. Common Stock","53,07,92,40,504",$45.38
ALXN,"Alexion Pharmaceuticals, Inc. Common Stock","19,66,92,53,468",$88.84
ALGN,"Align Technology, Inc. Common Stock","17,96,83,21,214",$228.16
GOOG,Alphabet Inc. Class C Capital Stock,"8,79,99,42,36,775",$1280.39
GOOGL,Alphabet Inc. Class A Common Stock,"8,76,40,66,03,385",$1275.17
AMZN,"Amazon.com, Inc. Common Stock","9,41,76,77,54,168",$1891.82
AAL,American Airlines Group Inc. Common Stock,"7,24,29,98,648",$17.00
AMGN,Amgen Inc. Common Stock,"1,21,97,20,50,169",$206.80
ADI,"Analog Devices, Inc. Common Stock","37,72,04,66,122",$102.44
ANSS,"ANSYS, Inc. Common Stock","19,68,47,01,600",$229.12
AAPL,Apple Inc. Common Stock,"12,48,49,94,63,200",$285.34
AMAT,"Applied Materials, Inc. Common Stock","51,58,11,98,253",$56.17
ASML,ASML Holding N.V. New York Registry Shares,"1,19,08,25,58,791",$279.76
ADSK,"Autodesk, Inc. Common Stock","36,19,10,28,169",$164.48
ADP,"Automatic Data Processing, Inc. Common Stock","66,67,14,91,594",$154.42
BIDU,"Baidu, Inc. ADS","38,70,16,95,413",$111.91
BIIB,Biogen Inc. Common Stock,"53,19,91,83,682",$305.63
BMRN,BioMarin Pharmaceutical Inc. Common Stock,"16,07,09,54,771",$89.32
BKNG,Booking Holdings Inc. Common Stock,"64,01,53,68,026",$1559.00
AVGO,Broadcom Inc. Common Stock,"1,05,01,76,62,259",$262.90
CDNS,"Cadence Design Systems, Inc. Common Stock","17,62,81,70,560",$62.92
CDW,CDW Corporation Common Stock,"14,86,10,89,495",$104.09
CERN,Cerner Corporation Common Stock,"21,56,73,72,025",$69.14
CHTR,"Charter Communications, Inc. Class A Common Stock New","1,00,10,81,40,597",$476.76
CHKP,Check Point Software Technologies Ltd. Ordinary Shares,"14,11,86,91,972",$92.74
CTAS,Cintas Corporation Common Stock,"27,84,87,89,199",$268.42
CSCO,"Cisco Systems, Inc. Common Stock","1,69,97,44,76,853",$40.08
CTXS,"Citrix Systems, Inc. Common Stock","14,04,42,70,293",$114.78
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,"30,60,29,77,773",$55.78
CMCSA,Comcast Corporation Class A Common Stock,"1,78,02,36,54,620",$39.10
CPRT,"Copart, Inc. (DE) Common Stock","18,47,20,81,139",$79.04
CSGP,"CoStar Group, Inc. Common Stock","25,43,18,11,843",$694.01
COST,Costco Wholesale Corporation Common Stock,"1,36,63,78,46,800",$309.40
CSX,CSX Corporation Common Stock,"48,65,81,51,527",$62.88
DLTR,Dollar Tree Inc. Common Stock,"20,84,04,82,666",$88.06
EBAY,eBay Inc. Common Stock,"28,69,07,52,969",$36.04
EA,Electronic Arts Inc. Common Stock,"29,94,65,29,237",$103.38
EXC,Exelon Corporation Common Stock,"42,01,26,59,643",$43.12
EXPE,"Expedia Group, Inc. Common Stock","12,02,92,65,511",$85.93
FB,"Facebook, Inc. Class A Common Stock","5,07,92,18,02,927",$178.19
FAST,Fastenal Company Common Stock,"19,29,97,12,790",$33.60
FISV,"Fiserv, Inc. Common Stock","72,68,39,42,744",$107.03
FOX,Fox Corporation Class B Common Stock,"17,45,25,20,733",$28.76
FOXA,Fox Corporation Class A Common Stock,"17,66,49,12,327",$29.11
GILD,"Gilead Sciences, Inc. Common Stock","91,41,14,75,695",$72.34
IDXX,"IDEXX Laboratories, Inc. Common Stock","21,78,97,77,381",$255.36
ILMN,"Illumina, Inc. Common Stock","39,41,80,50,000",$268.15
INCY,Incyte Corp. Common Stock,"16,10,85,89,932",$74.31
INTC,Intel Corporation Common Stock,"2,30,87,24,60,000",$53.98
INTU,Intuit Inc. Common Stock,"70,24,35,88,593",$269.66
ISRG,"Intuitive Surgical, Inc. Common Stock","62,32,98,25,246",$537.40
JD,"JD.com, Inc. American Depositary Shares","61,11,81,83,500",$41.80
KLAC,KLA Corporation Common Stock,"24,23,22,78,645",$154.57
LRCX,Lam Research Corporation Common Stock,"41,85,53,73,518",$287.57
LBTYA,Liberty Global plc Class A Ordinary Shares,"11,50,70,68,743",$18.19
LBTYK,Liberty Global plc Class C Ordinary Shares,"10,96,30,29,209",$17.33
LULU,lululemon athletica inc. Common Stock,"26,59,57,96,417",$204.12
MAR,Marriott International Class A Common Stock,"35,65,71,15,659",$109.98
MXIM,"Maxim Integrated Products, Inc. Common Stock","14,27,25,03,868",$52.98
MELI,"MercadoLibre, Inc. Common Stock","29,77,97,42,742",$599.07
MCHP,Microchip Technology Incorporated Common Stock,"19,51,75,62,432",$81.48
MU,"Micron Technology, Inc. Common Stock","53,16,64,08,294",$47.86
