id,symbol,name,mcap,av
0,ATVI,"Activision Blizzard, Inc. Common Stock",46699438722,0.3181
1,ADBE,Adobe Inc. Common Stock,160628689302,0.2662
2,AMD,"Advanced Micro Devices, Inc. Common Stock",53079240504,0.5842
3,ALXN,"Alexion Pharmaceuticals, Inc. Common Stock",19669253468,0.3802
4,ALGN,"Align Technology, Inc. Common Stock",17968321214,0.3882
5,GOOG,Alphabet Inc. Class C Capital Stock,879994236775,0.236
6,GOOGL,Alphabet Inc. Class A Common Stock,876406603385,0.2344
7,AMZN,"Amazon.com, Inc. Common Stock",941767754168,0.2942
8,AAL,American Airlines Group Inc. Common Stock,7242998648,0.439
9,AMGN,Amgen Inc. Common Stock,121972050169,0.2467
10,ADI,"Analog Devices, Inc. Common Stock",37720466122,0.2574
11,ANSS,"ANSYS, Inc. Common Stock",19684701600,0.2314
12,AAPL,Apple Inc. Common Stock,1248499463200,0.2535
13,AMAT,"Applied Materials, Inc. Common Stock",51581198253,0.3141
14,ASML,ASML Holding N.V. New York Registry Shares,119082558791,0.2782
15,ADSK,"Autodesk, Inc. Common Stock",36191028169,0.32
16,ADP,"Automatic Data Processing, Inc. Common Stock",66671491594,0.1989
17,BIDU,"Baidu, Inc. ADS",38701695413,0.36
18,BIIB,Biogen Inc. Common Stock,53199183682,0.3862
19,BMRN,BioMarin Pharmaceutical Inc. Common Stock,16070954771,0.3641
20,BKNG,Booking Holdings Inc. Common Stock,64015368026,0.2649
21,AVGO,Broadcom Inc. Common Stock,105017662259,0.3249
22,CDNS,"Cadence Design Systems, Inc. Common Stock",17628170560,0.2477
23,CDW,CDW Corporation Common Stock,14861089495,0.2491
24,CERN,Cerner Corporation Common Stock,21567372025,0.2372
25,CHTR,"Charter Communications, Inc. Class A Common Stock New",100108140597,0.2657
26,CHKP,Check Point Software Technologies Ltd. Ordinary Shares,14118691972,0.2084
27,CTAS,Cintas Corporation Common Stock,27848789199,0.1987
28,CSCO,"Cisco Systems, Inc. Common Stock",169974476853,0.2295
29,CTXS,"Citrix Systems, Inc. Common Stock",14044270293,0.2457
30,CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,30602977773,0.2567
31,CMCSA,Comcast Corporation Class A Common Stock,178023654620,0.212
32,CPRT,"Copart, Inc. (DE) Common Stock",18472081139,0.2252
33,CSGP,"CoStar Group, Inc. Common Stock",25431811843,0.279
34,COST,Costco Wholesale Corporation Common Stock,136637846800,0.1853
35,CSX,CSX Corporation Common Stock,48658151527,0.2581
36,DLTR,Dollar Tree Inc. Common Stock,20840482666,0.2724
37,EBAY,eBay Inc. Common Stock,28690752969,0.2613
38,EA,Electronic Arts Inc. Common Stock,29946529237,0.3179
39,EXC,Exelon Corporation Common Stock,42012659643,0.2048
40,EXPE,"Expedia Group, Inc. Common Stock",12029265511,0.3715
41,FB,"Facebook, Inc. Class A Common Stock",507921802927,0.32
42,FAST,Fastenal Company Common Stock,19299712790,0.2554
43,FISV,"Fiserv, Inc. Common Stock",72683942744,0.1885
44,FOX,Fox Corporation Class B Common Stock,17452520733,0.2736
45,FOXA,Fox Corporation Class A Common Stock,17664912327,0.2885
