Company,Market cap.,IPOyear
Ford Motor Company F: NYSE,20.1B,1956
General Motors Com... GM: NYSE,30.5B,2010
Harley-Davidson In... HOG: NYSE,2.7B,1986
Honda Motor Co Ltd... HMC: NYSE,42.7B,1978
Spartan Motors Inc SPAR: NASDAQ,433.6M,1984
Toyota Motor Corp ... TM: NYSE,205.6B,1999
Daimler AG DDAIF: NYSE,32.4B,1993
Nissan Motor Co Lt... NSANY: NASDAQ,15.1B,1980
Tata Motors Limite... TTM: NYSE,3.0B,2004
Fiat Chrysler Automobiles… FCAU: NYSE,14.5B,2014
Volkswagen… VOW3: Other,55.3B,1998
Hyundai Motor Company… HYMTF: Other,18.3B,2009
