id,value,name,image,type
SrBachchan,63753,Amitabh Bachchan,https://pbs.twimg.com/profile_images/768780297437450240/FJBOm5n8_normal.jpg,0
Twitter,8824,Twitter,https://pbs.twimg.com/profile_images/1013798240683266048/zRim1x6M_normal.jpg,1
narendramodi,22192,Narendra Modi,https://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg,0
Harry_Styles,5490,Harry Styles.,https://pbs.twimg.com/profile_images/852489294102974465/4ew6HxaY_normal.jpg,0
selenagomez,4378,Selena Gomez,https://pbs.twimg.com/profile_images/991347738498424832/SvwCCOOa_normal.jpg,0
BrunoMars,4489,Bruno Mars,https://pbs.twimg.com/profile_images/952969165370884096/bK1_Bkpq_normal.jpg,0
JLo,14150,Jennifer Lopez,https://pbs.twimg.com/profile_images/1076519117635473409/zYGMeYLm_normal.jpg,0
ladygaga,8934,Lady Gaga,https://pbs.twimg.com/profile_images/1026810341336858626/Fp0qf9Mh_normal.jpg,0
MileyCyrus,9642,Miley Ray Cyrus,https://pbs.twimg.com/profile_images/1091162923760664577/xGapEld2_normal.jpg,0
justinbieber,30503,Justin Bieber,https://pbs.twimg.com/profile_images/898295311893880832/bCps4HFV_normal.jpg,0
realmadrid,65221,Real Madrid C.F.⚽,https://pbs.twimg.com/profile_images/1053405468239020032/Cltq9Clq_normal.jpg,1
Cristiano,3342,Cristiano Ronaldo,https://pbs.twimg.com/profile_images/960787280431648768/lSc6wqfD_normal.jpg,0
shakira,6151,Shakira,https://pbs.twimg.com/profile_images/1043155752435834881/7MAR7MJO_normal.jpg,0
katyperry,9361,KATY PERRY,https://pbs.twimg.com/profile_images/1078339028598943744/-WvR3jT8_normal.jpg,0
BeingSalmanKhan,42543,Salman Khan,https://pbs.twimg.com/profile_images/838562307/IMG00882-20100416-0034_normal.jpg,0
YouTube,23111,YouTube,https://pbs.twimg.com/profile_images/1013436760859299847/aQltRN9T_normal.jpg,1
Oprah,12614,Oprah Winfrey,https://pbs.twimg.com/profile_images/1013835283698049025/q5ZN4yv3_normal.jpg,0
Pink,7155,P!nk,https://pbs.twimg.com/profile_images/901285790667251712/Rckluz7j_normal.jpg,0
TheEllenShow,18521,Ellen DeGeneres,https://pbs.twimg.com/profile_images/1053330932906639362/9OfK5qOh_normal.jpg,0
KevinHart4real,38210,Kevin Hart,https://pbs.twimg.com/profile_images/839198522385793025/jPENEMJT_normal.jpg,0
BBCBreaking,35308,BBC Breaking News,https://pbs.twimg.com/profile_images/875701863957630977/KTviCCaU_normal.jpg,1
aliciakeys,7919,Alicia Keys,https://pbs.twimg.com/profile_images/1035555139199754240/nJhypIR4_normal.jpg,0
CNN,224565,CNN,https://pbs.twimg.com/profile_images/508960761826131968/LnvhR8ED_normal.png,1
Louis_Tomlinson,6604,Louis Tomlinson,https://pbs.twimg.com/profile_images/948489086150561792/Q3zjpLAm_normal.jpg,0
nytimes,348446,The New York Times,https://pbs.twimg.com/profile_images/942784892882112513/qV4xB0I3_normal.jpg,1
BarackObama,15575,Barack Obama,https://pbs.twimg.com/profile_images/822547732376207360/5g0FC8XX_normal.jpg,0
SportsCenter,107391,SportsCenter,https://pbs.twimg.com/profile_images/1062155885911425024/EMf90GZI_normal.jpg,1
espn,99705,ESPN,https://pbs.twimg.com/profile_images/1027403255607746560/dIyhrGOz_normal.jpg,1
LilTunechi,1995,Lil Wayne WEEZY F,https://pbs.twimg.com/profile_images/1044693697533804546/Z2MiD-wP_normal.jpg,0
britneyspears,5642,Britney Spears,https://pbs.twimg.com/profile_images/1081235040695009281/P0mr7PUX_normal.jpg,0
iamsrk,57638,Shah Rukh Khan,https://pbs.twimg.com/profile_images/661679664/keep_it_onn_normal.jpg,0
rihanna,10235,Rihanna,https://pbs.twimg.com/profile_images/994789370237419520/Cf9VT8_L_normal.jpg,0
KimKardashian,28759,Kim Kardashian West,https://pbs.twimg.com/profile_images/1044786302443372544/3bIbMHgS_normal.jpg,0
KingJames,6214,LeBron James,https://pbs.twimg.com/profile_images/1010862750401253377/Rof4XuYC_normal.jpg,0
realDonaldTrump,40454,Donald J. Trump,https://pbs.twimg.com/profile_images/874276197357596672/kUuht00m_normal.jpg,0
ArianaGrande,43705,Ariana Grande,https://pbs.twimg.com/profile_images/1090935294684102657/m1JrCsCP_normal.jpg,0
ddlovato,17082,Demi Lovato,https://pbs.twimg.com/profile_images/1009793767715397638/C3Vh-_bg_normal.jpg,0
BillGates,2949,Bill Gates,https://pbs.twimg.com/profile_images/988775660163252226/XpgonN0X_normal.jpg,0
jtimberlake,4059,Justin Timberlake,https://pbs.twimg.com/profile_images/1046895903095820289/9iU-AMuM_normal.jpg,0
wizkhalifa,44509,Wiz Khalifa,https://pbs.twimg.com/profile_images/1017546285266530304/Qtz8LqPx_normal.jpg,0
Drake,1722,Drizzy,https://pbs.twimg.com/profile_images/563843814725402624/Vb8k670S_normal.png,0
instagram,12241,Instagram,https://pbs.twimg.com/profile_images/786681705981673472/T5OKNZ1-_normal.jpg,1
LiamPayne,10681,Liam,https://pbs.twimg.com/profile_images/1070007978798039041/fu0D2fWe_normal.jpg,0
jimmyfallon,11597,jimmy fallon,https://pbs.twimg.com/profile_images/890035968656396288/nQU6aYAs_normal.jpg,0
neymarjr,41419,Neymar Jr,https://pbs.twimg.com/profile_images/1024824376406024192/XWNBgfCX_normal.jpg,0
NiallOfficial,13097,Niall Horan,https://pbs.twimg.com/profile_images/986727161179484161/CMLiA88K_normal.jpg,0
NASA,54636,NASA,https://pbs.twimg.com/profile_images/1091070803184177153/TI2qItoi_normal.jpg,1
